fervent_kirch: CPU: 1527.66%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1542.55%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1531.25%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1546.57%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1579.51%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1582.12%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1543.86%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1581.07%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 1579.49%, Memory: 9.039GiB / 251.5GiB
fervent_kirch: CPU: 99.68%, Memory: 12.11GiB / 251.5GiB
determined_hypatia: CPU: 101.70%, Memory: 1.233GiB / 251.5GiB
determined_hypatia: CPU: 101.22%, Memory: 4.164GiB / 251.5GiB
determined_hypatia: CPU: 100.56%, Memory: 4.191GiB / 251.5GiB
determined_hypatia: CPU: 100.96%, Memory: 4.354GiB / 251.5GiB
determined_hypatia: CPU: 336.92%, Memory: 9.038GiB / 251.5GiB
determined_hypatia: CPU: 1546.63%, Memory: 9.038GiB / 251.5GiB
determined_hypatia: CPU: 1538.16%, Memory: 9.038GiB / 251.5GiB
determined_hypatia: CPU: 1571.39%, Memory: 9.038GiB / 251.5GiB
determined_hypatia: CPU: 1538.46%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1529.42%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1548.67%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1551.74%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1556.59%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1582.03%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1578.69%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1519.30%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1550.92%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1583.31%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1549.86%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1553.96%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1356.86%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 99.65%, Memory: 12.02GiB / 251.5GiB
determined_hypatia: CPU: 1505.88%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1548.68%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1558.38%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1495.19%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1582.40%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1585.97%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1581.15%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1577.58%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1534.61%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1579.57%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1552.48%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 1580.34%, Memory: 9.039GiB / 251.5GiB
determined_hypatia: CPU: 101.60%, Memory: 12.11GiB / 251.5GiB
