flamboyant_chatelet: CPU: 800.47%, Memory: 24.09GiB / 251.5GiB
flamboyant_chatelet: CPU: 802.17%, Memory: 24.09GiB / 251.5GiB
flamboyant_chatelet: CPU: 803.14%, Memory: 24.09GiB / 251.5GiB
flamboyant_chatelet: CPU: 798.71%, Memory: 24.09GiB / 251.5GiB
flamboyant_chatelet: CPU: 800.48%, Memory: 24.09GiB / 251.5GiB
flamboyant_chatelet: CPU: 800.13%, Memory: 24.09GiB / 251.5GiB
flamboyant_chatelet: CPU: 803.61%, Memory: 24.09GiB / 251.5GiB
flamboyant_chatelet: CPU: 798.48%, Memory: 24.09GiB / 251.5GiB
flamboyant_chatelet: CPU: 796.82%, Memory: 24.09GiB / 251.5GiB
flamboyant_chatelet: CPU: 803.11%, Memory: 24.09GiB / 251.5GiB
flamboyant_chatelet: CPU: 787.59%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 797.47%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 803.52%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 802.66%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 802.16%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 799.96%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 801.13%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 801.14%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 800.66%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 798.43%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 801.13%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 799.44%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 799.97%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 792.93%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 799.44%, Memory: 24.13GiB / 251.5GiB
flamboyant_chatelet: CPU: 801.17%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 801.16%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 801.65%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 797.46%, Memory: 24.12GiB / 251.5GiB
flamboyant_chatelet: CPU: 796.97%, Memory: 24.2GiB / 251.5GiB
flamboyant_chatelet: CPU: 802.62%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 796.43%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 799.91%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 801.61%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 799.62%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 801.09%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 802.11%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 797.90%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 800.62%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 798.90%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 800.64%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 797.95%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 801.61%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 800.20%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 803.12%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 800.75%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 802.34%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 803.13%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 799.63%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 803.62%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 801.09%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 800.77%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 800.12%, Memory: 24.21GiB / 251.5GiB
flamboyant_chatelet: CPU: 796.91%, Memory: 24.21GiB / 251.5GiB
